Fold,Macro Precision,Macro Recall,Macro F1,Micro Precision,Micro Recall,Micro F1,Accuracy
Fold 1,0.6052,0.6123,0.6064,0.6127,0.6127,0.6127,0.6127
Fold 2,0.5541,0.567,0.5562,0.5588,0.5588,0.5588,0.5588
Fold 3,0.5785,0.5821,0.5755,0.5686,0.5686,0.5686,0.5686
Fold 4,0.5674,0.5719,0.5681,0.5735,0.5735,0.5735,0.5735
Fold 5,0.6347,0.6286,0.6248,0.6225,0.6225,0.6225,0.6225
Fold 6,0.5873,0.591,0.5888,0.6029,0.6029,0.6029,0.6029
Fold 7,0.6809,0.6758,0.6582,0.6765,0.6765,0.6765,0.6765
Fold 8,0.6205,0.6324,0.6246,0.6256,0.6256,0.6256,0.6256
Fold 9,0.5912,0.5906,0.5898,0.6108,0.6108,0.6108,0.6108
Fold 10,0.5871,0.5999,0.5896,0.6207,0.6207,0.6207,0.6207
Average,0.6007,0.6052,0.5982,0.6073,0.6073,0.6073,0.6073
